ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p> <font face=""Cambria Math, serif"">Among the following, the most acidic is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_24f17916335d6326.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_328700c365547f6f.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3b29aaeed5381009.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b981ee8326fb2af2.gif""/>     ",,,3 ," <p> <font face=""Cambria Math, serif"">Proton donors are acids. Electrons withdrawing groups increase acidity. More the number of electrons withdrawing groups more will be acidity. Closer the electrons withdrawing group to proton more will be acidity.</font></p> <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3a252cf8fcfbc793.gif""/> <font face=""Cambria Math, serif"">, has highest acidity among </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fcb867c5faec3a98.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">In question 178 step (4) cab be carried out with</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1fd4bc22fc9cf6e1.gif""/> <font face=""Cambria Math, serif""> + dil. HCl. The other products of the step are:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2ed0b9916328602.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c98fae0de4fc8165.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_35866231f826de4c.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d23c5cb83e35a266.gif""/>     ",,,3 ," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_16b83c0d17b1768b.gif""/> <font face=""Cambria Math, serif"">NO ⟶ </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6faf7a02f7380bcb.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">In question 178 an intermediate involved in step (3) is:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e5d9368269832f8.gif""/> —<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d160eb9dd3d8e023.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e5d9368269832f8.gif""/> —<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7a1bb67dc8f13a74.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e5d9368269832f8.gif""/> —<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3ff5721a1b79673d.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e5d9368269832f8.gif""/> —<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6e3aac89d2c93656.gif""/> —N=C=O    ",,,4 ," <p align=""justify""> <font face=""Cambria Math, serif"">The intermediate formed during Hofmann’s bromamide reaction is </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_880b9b427451e520.gif""/> <font face=""Cambria Math, serif"">—</font><font face=""Cambria Math, serif"">N=C=O. Follow </font> </p> <p align=""justify""><font face=""Cambria Math, serif"">mechanism of the reaction. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Acetyl chloride is reduced to acetaldehyde by:</font></p>","   Na —<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1299ac2f58205f91.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_720d3cd52cea46d7.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c41c409d659551cd.gif""/> —<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e648f77665489510.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3cff200efbc702ef.gif""/>     ",,,3," <p><font face=""Cambria Math, serif"">Rosenmund’s reaction. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The compound having least solubility in water is:</font></p>",   Methanol   ,   Acetaldehyde     ,   Acetone     ,   Acetophenone      ,,,4 ," <p><font face=""Cambria Math, serif"">Solubility of organic compounds in water decreases with mol. wt. due to increasing hydrophobic character of alkyl or aryl gps.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">2-bromopropanoic acid when heated with alcoholic </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_baee18022f55b294.gif""/> <font face=""Cambria Math, serif""> gives an organic compound which on further acid hydrolysis gives the compound</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e220410307313807.gif""/> <font face=""Cambria Math, serif"">. Hence, </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e220410307313807.gif""/> <font face=""Cambria Math, serif""> will be:</font></p>","   <img align=""bottom"" height=""35"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c0d3b92065ea0406.gif"" width=""113""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_70656af2b3e9feb6.gif""/>    ","   <img align=""bottom"" height=""38"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bf9ea03a47305e4b.gif"" width=""111""/>    ","   <img align=""bottom"" height=""38"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b59734a8113f6abc.gif"" width=""114""/>     ",,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""43"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_16d8477304e26a60.gif"" width=""285""/> </p> <p><font face=""Cambria Math, serif"">Identify the final product </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b644513e33cc2a6.gif""/> ","   <img align=""bottom"" height=""60"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d83cc007f12fe9c5.gif"" width=""159""/>    ","   <img align=""bottom"" height=""56"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_53c605e578e1b01f.gif"" width=""147""/>          ","   <img align=""bottom"" height=""55"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b9023ad28d495f2.gif"" width=""146""/>    ","   <img align=""bottom"" height=""59"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_44e68f830e6b18dc.gif"" width=""155""/>     ",,,1 ," <p> <font face=""Cambria Math, serif"">Formation of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_86b3bf3d192eb545.gif""/> <font face=""Cambria Math, serif"">-unsaturated carboxylic acid by the action of acetic anhydride and sodium acetate on aromatic aldehyde as Perkin reaction. The other Perkin like condensation involve condensation of aromatic aldehyde and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_56e4dc37afee54d6.gif""/> <font face=""Cambria Math, serif"">-hydrogen containing compound</font></p> <p><img align=""bottom"" height=""217"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b24b972aae8e960a.gif"" width=""285""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e5d9368269832f8.gif""/> <font face=""Cambria Math, serif"">COOH ⟶ </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_98a0419c842e72aa.gif""/> <font face=""Cambria Math, serif"">OH. This mode of reduction of an acid to alcohol can be affected only by:</font></p>",   Zn/HCl         ,   Na-alcohol           ,   Aluminium isopropoxide and isopropyl alcohol           ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_720d3cd52cea46d7.gif""/>     ",,,4," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_720d3cd52cea46d7.gif""/> <font face=""Cambria Math, serif"">is used for converting —COOH to </font><font face=""Cambria Math, serif"">—</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c389134c93cf3d90.gif""/> <font face=""Cambria Math, serif"">.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">An organic compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b644513e33cc2a6.gif""/> <font face=""Cambria Math, serif"">is oxidised by using acidified </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9e0d1e3ae4844803.gif""/> <font face=""Cambria Math, serif"">. The product obtained reacts with phenyl hydrazine but does not answer silver mirror test. The possible structure of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b644513e33cc2a6.gif""/> <font face=""Cambria Math, serif""> is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c6bbc3589139e235.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f6a0f420e9930e95.gif""/>   ||  O   ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7baf91ebf53c1b97.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_96ca8eaafc849144.gif""/>     ",,,3 ," <p> <img align=""bottom"" height=""59"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1eb1e91ba2482f7f.gif"" width=""256""/> </p> <p><font face=""Cambria Math, serif"">Ketone (</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a2d76086d34b7145.gif""/> <font face=""Cambria Math, serif""> acetone reacts with phenyl hydrazine but does not give silver mirror test.)</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">Formic acid reduces ammoniacal </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5e769ff097f2b23c.gif""/> <font face=""Cambria Math, serif""> solution and Fehling’s solution because:</font></p>",   All organic acids do so         ,   Formic acid has aldehyde like structure           ,   Formic acid is an aliphatic acid         ,   None of the above statement is correct    ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">Vapour density of a volatile substance is 4(</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_97755a56e6a7394c.gif""/> <font face=""Cambria Math, serif""> = 1). Its molecular weight would be:</font></p>",   8   ,   2   ,   64   ,   128    ,,,3 ," <p><font face=""Cambria Math, serif"">Given vapour density of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_97755a56e6a7394c.gif""/> <font face=""Cambria Math, serif""> = 1, </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a2d76086d34b7145.gif""/> <font face=""Cambria Math, serif""> 8 =1.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The final product (III) obtained in the reaction</font></p> <p><img align=""bottom"" height=""77"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_288471fe5ee0a4b7.gif"" width=""288""/> ","   <img align=""bottom"" height=""67"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f65a1a08053023fb.gif"" width=""192""/>    ","   <img align=""bottom"" height=""67"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1d2184a2173ac6b.gif"" width=""173""/>          ","   <img align=""bottom"" height=""67"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3afd2809b136ab1b.gif"" width=""192""/>    ","   <img align=""bottom"" height=""67"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_789c58e09d4b4adc.gif"" width=""192""/>     ",,,2," <p> <font face=""Cambria Math, serif"">Aldol condensation takes place as,</font></p> <p><img align=""bottom"" height=""294"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2aef3de9922bdbfd.gif"" width=""285""/> <font color=""#ff0000""> </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which one of the following compounds, each with two carbons will have the highest boiling point?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1299ac2f58205f91.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_47f5501e3905af74.gif""/> —O—<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_47f5501e3905af74.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_47f5501e3905af74.gif""/> COOH   ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_47f5501e3905af74.gif""/> CHO    ",,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The major product obtained in the reaction</font></p> <p><img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bb7e1d264d5f11f5.gif"" width=""221""/> ","   <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_90ebf34730dbdec7.gif"" width=""106""/>    ","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_92be48ba6196aa0d.gif"" width=""87""/>    ","   <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b5b3d1a31041982d.gif"" width=""115""/>    ","   <img align=""bottom"" height=""77"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e049504c27630b57.gif"" width=""87""/>     ",,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">In organic chemistry the element which is estimated by difference: </font> ",   N   ,   O   ,   S   ,   H    ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">In estimation of carbon and hydrogen, the saphnolite resin absorbs:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_146763b3f73e81ab.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6e8d3ee5ae0dbb6b.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9996d0d056a2c839.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a0ed7233f667f37b.gif""/>     ",,,3," <p align=""justify""><font face=""Cambria Math, serif"">It absorbs only </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a51122592d21691f.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9d9411fb14ce8c0.gif""/> ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b5beca969a8abbb8.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_515f0dbd14614535.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_614ee3ab92337a48.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_afafed92e899f7da.gif""/>     ",,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which reaction is suitable for the preparation of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> <font face=""Cambria Math, serif"">chloroacetic acid?</font></p>",   Hell-Volhard-Zelinsky reaction   ,   Nef reaction         ,   Stephen’s reaction   ,   Perkin condensation    ,,,1 ," <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f7310f02cd373295.gif""/> </p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_17fdc8bd5df49d1d.gif""/> </p> <p><font face=""Cambria Math, serif"">This reaction is called Hell-Volhard-Zelinsky reaction.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">A fractionating column is used in:</font></p>",   Sublimation     ,   Distillation     ,   Fractional distillation     ,   Chromatography      ,,,3 ," <p><font face=""Cambria Math, serif"">If two liquids have a difference in their b. p. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_59cbeb132eaa08f9.gif""/> <font face=""Cambria Math, serif"">, a fractionating column is used in distillation assembly. The lower b. p. liquid comes down when it passes through fractionating column. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Ni formate is best used as catalyst in:</font></p>",   Preservation of fruits           ,   Esterification           ,   Dyeing wool and cotton fabric           ,   Hydrogenation of oil      ,,,4," <p><font face=""Cambria Math, serif"">Ni formate is better catalyst than Ni for hydrogenation of oils. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The term carboxylic is a contraction of two terms:</font></p>",   Carbonyl and amine           ,   Carbonyl and hydroxyl           ,   Hydroxyl and carboxyl           ,   Carboxyl and hydroxyl    ,,,2 ," <p><font face=""Cambria Math, serif"">Carbon + xyl = Carboxyl. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Boiling point of a compound does not depend on:</font></p>",   Hydrogen bonding in the compound           ,   Solubility of the compound in water         ,   Size of the molecule         ,   Polarity of the molecule      ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""93"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_67a13b783d269f23.gif"" width=""183""/> </p> <p><font face=""Cambria Math, serif"">What is</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_36fa4778799cfcbf.gif""/> <font face=""Cambria Math, serif"">?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d73fdbb408dd3d9c.gif""/>    ","   <img align=""bottom"" height=""41"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9c6d8f8397dca440.gif"" width=""166""/>          ","   <img align=""bottom"" height=""38"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_320fc2d08d8f1805.gif"" width=""200""/>    ","   <img align=""bottom"" height=""38"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c4119103f3ea37d3.gif"" width=""202""/>     ",,,3 ," <p> <font face=""Cambria Math, serif"">The following is the reaction</font></p> <p> <br/> <br/> </p> <p align=""justify""><img align=""bottom"" height=""78"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e2173b1d932f7d8d.gif"" width=""281""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
